pkey,con_id,owner,table_name,column_name,data_type,data_length,data_precision,data_scale,nullable,dma_source_id,dma_manual_id
dms-test_2024-06-13094240,1,MOCKSCHEMA,VW_LISTAGG,DEPARTMENT_ID,NUMERIC,,4,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,VW_LISTAGG_OVERFLOW,DEPARTMENT_ID,NUMERIC,,4,0,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE,CREATED_ON,TIMESTAMP WITHOUT TIME ZONE,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE,TEXT,CHARACTER VARYING,4000,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOCATIONS,CITY,CHARACTER VARYING,30,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE,CREATED_BY,CHARACTER VARYING,100,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOCATIONS,STATE_PROVINCE,CHARACTER VARYING,25,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOCATIONS,COUNTRY_ID,CHARACTER,2,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SOURCE_TAB,OWNER,CHARACTER VARYING,30,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SOURCE_TAB,OBJECT_NAME,CHARACTER VARYING,30,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SOURCE_TAB,OBJECT_TYPE,CHARACTER VARYING,19,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,NEAREST MINUTE,TEXT,,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,REGIONS,REGION_NAME,CHARACTER VARYING,25,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPARTMENTS,DEPARTMENT_NAME,CHARACTER VARYING,30,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,FIRST_NAME,CHARACTER VARYING,20,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,LAST_NAME,CHARACTER VARYING,25,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,EMAIL,CHARACTER VARYING,25,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,PHONE_NUMBER,CHARACTER VARYING,20,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,DEPARTMENT_NAME,CHARACTER VARYING,30,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,JOB_ID,CHARACTER VARYING,10,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,JOB_TITLE,CHARACTER VARYING,35,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,CITY,CHARACTER VARYING,30,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,STATE_PROVINCE,CHARACTER VARYING,25,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,COUNTRY_NAME,CHARACTER VARYING,40,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRIES_DEMO,COUNTRY_ID,CHARACTER,2,,,NO,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRIES_DEMO,COUNTRY_NAME,CHARACTER VARYING,40,,,YES,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRIES_DEMO,CURRENCY_NAME,CHARACTER VARYING,25,,,YES,Postgres,
